Table 1e. Alpha diversity on OTU scale of soil bacterial and fungal communities in wheat cultivated soils ;;;;;
;;;;;
sample group;OTU number (richness);Shannon 's index (diversity);Simpson 's index (diversity);Chao1 (richness);ACE (richness)
16S rDNA data;;;;;
Site 2 bulk soil;1009.667;6.370628;0.996555;1010.952;1010.616
Site 3 bulk soil;891;6.324947;0.996848;891.5808;891.5414
Site 4 bulk soil;833.6667;6.190198;0.995641;834.0564;833.9261
Site 5 bulk soil;718;6.084887;0.995909;718;718
Site 6 bulk soil;901.6667;6.250563;0.99595;902.5417;902.295
Site 7 bulk soil;1027.667;6.40699;0.996814;1029.247;1028.765
Site 8 bulk soil;639.3333;5.963873;0.995244;639.65;639.6052
Site 9 bulk soil;775;6.103086;0.995644;775.5109;775.5441
Site 2 rhizosphere;726.6667;6.071117;0.995723;727.1806;726.9703
Site 3 rhizosphere;990.6667;6.313302;0.996063;992.4083;991.7785
Site 4 rhizosphere;784.6667;6.054897;0.9951;785.1005;785.2038
Site 5 rhizosphere;740.3333;5.967774;0.993984;741.4503;740.9844
Site 6 rhizosphere;1009.667;6.171417;0.995574;836.8071;836.9341
Site 7 rhizosphere;714.6667;6.047482;0.995429;715;714.7611
Site 8 rhizosphere;660.3333;5.970131;0.995196;661.1019;660.7013
Site 9 rhizosphere;816.3333;6.146067;0.995614;817.3137;817.0295
all bulk soils;849.5000875;6.2118965;0.996075625;850.19235;850.0366
all rhizospheric soils;805.4167125;6.092773375;0.995335375;784.5453;784.295375
ITS2 data;;;;;
Site 2 bulk soil;1266.5;4.465238;0.959582;1841.276;1474.42
Site 3 bulk soil;1108.5;4.228375;0.943903;1546.524;1288.924
Site 4 bulk soil;1070;3.915734;0.935109;1544.591;1260.523
Site 5 bulk soil;969.5;3.925951;0.940041;1441.555;1155.548
Site 6 bulk soil;1078.333;4.101129;0.944568;1554.184;1260.688
Site 7 bulk soil;1188.5;4.293521;0.954087;1624.063;1372.804
Site 8 bulk soil;942.3333;3.721771;0.9281;1341.349;1111.214
Site 9 bulk soil;1003;3.790213;0.926391;1535.496;1196.536
Site 2 rhizosphere;1081.333;4.25993;0.956959;1590.21;1277.241
Site 3 rhizosphere;1140;4.234652;0.933228;1579.966;1302.156
Site 4 rhizosphere;918.3333;3.72363;0.921123;1339.693;1090.517
Site 5 rhizosphere;973.6667;3.982232;0.946967;1437.832;1153.034
Site 6 rhizosphere;1042.667;3.954097;0.944384;1587.287;1257.51
Site 7 rhizosphere;904;3.754846;0.930857;1376.604;1085.595
Site 8 rhizosphere;860;3.46864;0.889237;1303.872;1037.86
Site 9 rhizosphere;859;3.62365;0.927576;1318.624;1027.167
all bulk soils;1078.333288;4.0552415;0.941472625;1553.62975;1265.082125
all rhizospheric soils;972.375;3.875209625;0.931291375;1441.761;1153.885
1 values indicate mean standard deviation;;;;;
2 Data in the same column followed by the same letter are not significantly different (â€¦ non parametric test);;;;;
